Country,PCV_type,Introduction_year
ANGOLA,PCV13,2013
ARGENTINA,PCV13,2012
AUSTRALIA,PCV7,2005
AUSTRALIA,PCV13,2011
AUSTRALIA,PCV20,2025
BANGLADESH,PCV10,2015
BENIN,PCV13,2011
BOLIVIA,PCV13,2014
BOTSWANA,PCV13,2012
BRAZIL,PCV10,2010
BULGARIA,PCV10,2010
BURKINA FASO,PCV13,2013
CAMBODIA,PCV13,2015
CAMEROON,PCV13,2011
CANADA,PCV7,2002
CANADA,PCV13,2010
CENTRAL AFRICAN REPUBLIC,PCV13,2011
CHILE,PCV10,2011
CHILE,PCV13,2017
COLOMBIA,PCV7,2009
COLOMBIA,PCV10,2012
COLOMBIA,PCV13,2022
COSTA RICA,PCV7,2009
COSTA RICA,PCV13,2011
CROATIA,PCV10,2019
CUBA,PCV10,2024
CZECH REPUBLIC,PCV13,2010
DENMARK,PCV7,2007
DENMARK,PCV13,2010
DOMINICAN REPUBLIC,PCV13,2013
DR CONGO,PCV13,2013
ECUADOR,PCV7,2010
ECUADOR,PCV10,2011
ETHIOPIA,PCV10,2011
ETHIOPIA,PCV13,2020
EL SALVADOR,PCV13,2011
EL SALVADOR,PCV10,2018
EL SALVADOR,PCV13,2020
FINLAND,PCV10,2010
FRANCE,PCV7,2003
FRANCE,PCV13,2010
GERMANY,PCV7,2006
GERMANY,PCV13,2009
GHANA,PCV13,2012
GUATEMALA,PCV13,2012
HONDURAS,PCV13,2011
HONG KONG,PCV7,2009
HONG KONG,PCV10,2010
HONG KONG,PCV13,2011
HONG KONG,PCV15,2024
HUNGARY,PCV7,2009
HUNGARY,PCV13,2010
HUNGARY,PCV15,2023
INDIA,PCV13,2017
INDIA,PCV10,2021
INDONESIA,PCV13,2022
IRELAND,PCV7,2008
IRELAND,PCV13,2010
ISRAEL,PCV7,2009
ISRAEL,PCV13,2010
ITALY,PCV7,2005
ITALY,PCV10,2010
ITALY,PCV13,2010
IVORY COAST,PCV13,2014
JAPAN,PCV7,2013
JAPAN,PCV13,2013
JAPAN,PCV15,2024
JAPAN,PCV20,2024
KENYA,PCV10,2011
KUWAIT,PCV7,2007
KUWAIT,PCV13,2010
LATVIA,PCV7,2010
LATVIA,PCV10,2012
LATVIA,PCV15,2024
LEBANON,PCV13,2016
LITHUANIA,PCV10,2014
LITHUANIA,PCV15,2024
MALAWI,PCV13,2011
MALAYSIA,PCV10,2020
MEXICO,PCV7,2008
MEXICO,PCV13,2011
MONGOLIA,PCV13,2016
MOROCCO,PCV13,2010
MOROCCO,PCV10,2012
MOZAMBIQUE,PCV10,2013
MOZAMBIQUE,PCV13,2017
MYANMAR,PCV10,2016
MYANMAR,PCV13,2018
NEPAL,PCV10,2015
NETHERLANDS,PCV7,2006
NETHERLANDS,PCV10,2011
NETHERLANDS,PCV13,2024
NEW CALEDONIA,PCV7,2008
NEW CALEDONIA,PCV13,2010
NEW ZEALAND,PCV7,2008
NEW ZEALAND,PCV10,2011
NEW ZEALAND,PCV13,2014
NEW ZEALAND,PCV10,2017
NEW ZEALAND,PCV13,2022
NICARAGUA,PCV13,2010
NIGER,PCV13,2014
NIGERIA,PCV10,2014
NORWAY,PCV7,2006
NORWAY,PCV13,2011
OMAN,PCV7,2008
OMAN,PCV10,2010
OMAN,PCV13,2012
PAKISTAN,PCV10,2012
PAKISTAN,PCV13,2024
PANAMA,PCV7,2008
PANAMA,PCV13,2010
PAPUA NEW GUINEA,PCV13,2014
PARAGUAY,PCV10,2012
PARAGUAY,PCV13,2017
PERU,PCV7,2009
PERU,PCV10,2011
PERU,PCV13,2015
POLAND,PCV10,2017
PORTUGAL,PCV13,2015
QATAR,PCV7,2005
QATAR,PCV13,2010
RUSSIAN FEDERATION,PCV13,2014
SENEGAL,PCV13,2013
SINGAPORE,PCV7,2009
SINGAPORE,PCV13,2011
SLOVENIA,PCV10,2015
SLOVENIA,PCV13,2019
SOUTH AFRICA,PCV7,2009
SOUTH AFRICA,PCV13,2011
SOUTH KOREA,PCV13,2014
SPAIN,PCV13,2016
SWEDEN,PCV7,2009
SWEDEN,PCV13,2010
SWEDEN,PCV10,2019
SWEDEN,PCV15,2023
TAIWAN,PCV13,2015
TANZANIA,PCV13,2012
THE GAMBIA,PCV7,2009
THE GAMBIA,PCV13,2011
TOGO,PCV13,2014
TRINIDAD AND TOBAGO,PCV10,2011
TRINIDAD AND TOBAGO,PCV13,2015
TUNISIA,PCV10,2019
TURKEY,PCV7,2008
TURKEY,PCV13,2011
UNITED KINGDOM,PCV7,2006
UNITED KINGDOM,PCV13,2010
UNITED STATES,PCV7,2000
UNITED STATES,PCV13,2010
UNITED STATES,PCV15,2022
UNITED STATES,PCV20,2023
URUGUAY,PCV7,2008
URUGUAY,PCV13,2010
